SRR6520008	I20_D041914
SRR6520009	I21_D041914
SRR6520010	I22_D041914
SRR6520011	G3_B000610
SRR6520012	J1_D041914
SRR6520013	J2_D041914
SRR6520014	J3_D041914
SRR6520015	J4_D041914
SRR6520016	J5_D041914
SRR6520017	J6_D041914
SRR6520018	J7_D041914
SRR6520019	J8_D041914
SRR6520020	J9_D041914
SRR6520021	J10_D041914
SRR6520022	G3_B000610
SRR6520023	J11_D041914
SRR6520024	J13_D041914
SRR6520025	J14_D041914
SRR6520026	J15_D041914
SRR6520027	J16_D041914
SRR6520028	J18_D041914
SRR6520029	J19_D041914
SRR6520030	J20_D041914
SRR6520031	J21_D041914
SRR6520032	J22_D041914
SRR6520033	G4_B000610
SRR6520034	K1_D041914
SRR6520035	K2_D041914
SRR6520036	K3_D041914
SRR6520037	K4_D041914
SRR6520038	K5_D041914
SRR6520039	K6_D041914
SRR6520040	K7_D041914
SRR6520041	K8_D041914
SRR6520042	K9_D041914
SRR6520043	K10_D041914
SRR6520044	G4_B000610
SRR6520045	K11_D041914
SRR6520046	K12_D041914
SRR6520047	K13_D041914
SRR6520048	K14_D041914
SRR6520049	K15_D041914
SRR6520050	K16_D041914
SRR6520051	K17_D041914
SRR6520052	K18_D041914
SRR6520053	K19_D041914
SRR6520054	K20_D041914
SRR6520055	G5_B000610
SRR6520056	K21_D041914
SRR6520057	K22_D041914
SRR6520058	L1_D041914
SRR6520059	L2_D041914
SRR6520060	L3_D041914
SRR6520061	L4_D041914
SRR6520062	L5_D041914
SRR6520063	L6_D041914
SRR6520064	L7_D041914
SRR6520065	L8_D041914
SRR6520066	A8_B000610
SRR6520067	G5_B000610
SRR6520068	L9_D041914
SRR6520069	L10_D041914
SRR6520070	L11_D041914
SRR6520071	L12_D041914
SRR6520072	L13_D041914
SRR6520073	L14_D041914
SRR6520074	L15_D041914
SRR6520075	L16_D041914
SRR6520076	L17_D041914
SRR6520077	L18_D041914
SRR6520078	G6_B000610
SRR6520079	L19_D041914
SRR6520080	L20_D041914
SRR6520081	L21_D041914
SRR6520082	L22_D041914
SRR6520083	M1_D041914
SRR6520084	M2_D041914
SRR6520085	M3_D041914
SRR6520086	M4_D041914
SRR6520087	M5_D041914
SRR6520088	M6_D041914
SRR6520089	G6_B000610
SRR6520090	M7_D041914
SRR6520091	M8_D041914
SRR6520092	M10_D041914
SRR6520093	M11_D041914
SRR6520094	M12_D041914
SRR6520095	M13_D041914
SRR6520096	M14_D041914
SRR6520097	M15_D041914
SRR6520098	M16_D041914
SRR6520099	M17_D041914
SRR6520100	G7_B000610
SRR6520101	M18_D041914
SRR6520102	M19_D041914
SRR6520103	M20_D041914
SRR6520104	M21_D041914
SRR6520105	M22_D041914
SRR6520106	N1_D041914
SRR6520107	N2_D041914
SRR6520108	N3_D041914
SRR6520109	N4_D041914
SRR6520110	N6_D041914
SRR6520111	G7_B000610
SRR6520112	N7_D041914
SRR6520113	N8_D041914
SRR6520114	N9_D041914
SRR6520115	N10_D041914
SRR6520116	N11_D041914
SRR6520117	N12_D041914
SRR6520118	N13_D041914
SRR6520119	N14_D041914
SRR6520120	N15_D041914
SRR6520121	N16_D041914
SRR6520122	G10_B000610
SRR6520123	N17_D041914
SRR6520124	N18_D041914
SRR6520125	N19_D041914
SRR6520126	N21_D041914
SRR6520127	N22_D041914
SRR6520128	O1_D041914
SRR6520129	O2_D041914
SRR6520130	O3_D041914
SRR6520131	O4_D041914
SRR6520132	O5_D041914
SRR6520133	G10_B000610
SRR6520134	O6_D041914
SRR6520135	O7_D041914
SRR6520136	O8_D041914
SRR6520137	O9_D041914
SRR6520138	O10_D041914
SRR6520139	O11_D041914
SRR6520140	O12_D041914
SRR6520141	O13_D041914
SRR6520142	O14_D041914
SRR6520143	O15_D041914
SRR6520144	G11_B000610
SRR6520145	O16_D041914
SRR6520146	O17_D041914
SRR6520147	O18_D041914
SRR6520148	O20_D041914
SRR6520149	O22_D041914
SRR6520150	P1_D041914
SRR6520151	P2_D041914
SRR6520152	P3_D041914
SRR6520153	P4_D041914
SRR6520154	P5_D041914
SRR6520155	G11_B000610
SRR6520156	P6_D041914
SRR6520157	P7_D041914
SRR6520158	P8_D041914
SRR6520159	P10_D041914
SRR6520160	P11_D041914
SRR6520161	P12_D041914
SRR6520162	P13_D041914
SRR6520163	P14_D041914
SRR6520164	P15_D041914
SRR6520165	P16_D041914
SRR6520166	G12_B000610
SRR6520167	P17_D041914
SRR6520168	P18_D041914
SRR6520169	P19_D041914
SRR6520170	P20_D041914
SRR6520171	P21_D041914
SRR6520172	P22_D041914
SRR6520173	A1_D042253
SRR6520174	A2_D042253
SRR6520175	A3_D042253
SRR6520176	A4_D042253
SRR6520177	A8_B000610
SRR6520178	G12_B000610
SRR6520179	A5_D042253
SRR6520180	A6_D042253
SRR6520181	A7_D042253
SRR6520182	A8_D042253
SRR6520183	A9_D042253
SRR6520184	A10_D042253
SRR6520185	A11_D042253
SRR6520186	A12_D042253
SRR6520187	A13_D042253
SRR6520188	A14_D042253
SRR6520189	G14_B000610
SRR6520190	A15_D042253
SRR6520191	A16_D042253
SRR6520192	A17_D042253
SRR6520193	A18_D042253
SRR6520194	A19_D042253
SRR6520195	A20_D042253
SRR6520196	A21_D042253
SRR6520197	A22_D042253
SRR6520198	B1_D042253
SRR6520199	B2_D042253
SRR6520200	G14_B000610
SRR6520201	B3_D042253
SRR6520202	B4_D042253
SRR6520203	B5_D042253
SRR6520204	B6_D042253
SRR6520205	B7_D042253
SRR6520206	B8_D042253
SRR6520207	B9_D042253
SRR6520208	B10_D042253
SRR6520209	B11_D042253
SRR6520210	B12_D042253
SRR6520211	G16_B000610
SRR6520212	B13_D042253
SRR6520213	B14_D042253
SRR6520214	B15_D042253
SRR6520215	B16_D042253
SRR6520216	B17_D042253
SRR6520217	B18_D042253
SRR6520218	B19_D042253
SRR6520219	B20_D042253
SRR6520220	B21_D042253
SRR6520221	B22_D042253
SRR6520222	G16_B000610
SRR6520223	C1_D042253
SRR6520224	C2_D042253
SRR6520225	C3_D042253
SRR6520226	C4_D042253
SRR6520227	C5_D042253
SRR6520228	C6_D042253
SRR6520229	C7_D042253
SRR6520230	C8_D042253
SRR6520231	C9_D042253
SRR6520232	C10_D042253
SRR6520233	H1_B000610
SRR6520234	C11_D042253
SRR6520235	C12_D042253
SRR6520236	C13_D042253
SRR6520237	C14_D042253
SRR6520238	C15_D042253
SRR6520239	C16_D042253
SRR6520240	C17_D042253
SRR6520241	C18_D042253
SRR6520242	C19_D042253
SRR6520243	C20_D042253
SRR6520244	H1_B000610
SRR6520245	C21_D042253
SRR6520246	C22_D042253
SRR6520247	D1_D042253
SRR6520248	D2_D042253
SRR6520249	D3_D042253
SRR6520250	D4_D042253
SRR6520251	D5_D042253
SRR6520252	D6_D042253
SRR6520253	D7_D042253
SRR6520254	D8_D042253
SRR6520255	H2_B000610
SRR6520256	D9_D042253
SRR6520257	D10_D042253
SRR6520258	D11_D042253
SRR6520259	D12_D042253
SRR6520260	D13_D042253
SRR6520261	D14_D042253
SRR6520262	D15_D042253
SRR6520263	D16_D042253
SRR6520264	D17_D042253
SRR6520265	D18_D042253
SRR6520266	H2_B000610
SRR6520267	D19_D042253
SRR6520268	D20_D042253
SRR6520269	D21_D042253
SRR6520270	D22_D042253
SRR6520271	E1_D042253
SRR6520272	E2_D042253
SRR6520273	E3_D042253
SRR6520274	E4_D042253
SRR6520275	E5_D042253
SRR6520276	E6_D042253
SRR6520277	H3_B000610
SRR6520278	E7_D042253
SRR6520279	E8_D042253
SRR6520280	E9_D042253
SRR6520281	E10_D042253
SRR6520282	E11_D042253
SRR6520283	E12_D042253
SRR6520284	E13_D042253
SRR6520285	E14_D042253
SRR6520286	E15_D042253
SRR6520287	E16_D042253
SRR6520288	A9_B000610
SRR6520289	H3_B000610
SRR6520290	E17_D042253
SRR6520291	E18_D042253
SRR6520292	E19_D042253
